W[18:46:25,132] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740989 to 172.16.66.120:50300  decided until 2740988 received 2741965
W[18:46:25,132] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740990 to 172.16.66.120:50300  decided until 2740989 received 2741966
W[18:46:25,132] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740991 to 172.16.66.120:50300  decided until 2740990 received 2742017
W[18:46:25,133] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740992 to 172.16.66.120:50300  decided until 2740991 received 2742042
W[18:46:25,134] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740993 to 172.16.66.120:50300  decided until 2740992 received 2742043
W[18:46:25,134] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740994 to 172.16.66.120:50300  decided until 2740993 received 2742087
W[18:46:25,134] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740995 to 172.16.66.120:50300  decided until 2740994 received 2742118
W[18:46:25,134] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740996 to 172.16.66.120:50300  decided until 2740995 received 2742119
W[18:46:25,134] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740997 to 172.16.66.120:50300  decided until 2740996 received 2742146
W[18:46:25,135] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740998 to 172.16.66.120:50300  decided until 2740997 received 2742190
W[18:46:25,135] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740999 to 172.16.66.120:50300  decided until 2740998 received 2742194
W[18:46:25,135] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2741000 to 172.16.66.120:50300  decided until 2740999 received 2742249
W[18:46:25,136] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2741001 to 172.16.66.120:50300  decided until 2741000 received 2742298
