W[18:37:36,374] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883116 to 172.16.66.12:50300  decided until 883115 received 883413
W[18:37:36,374] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883117 to 172.16.66.12:50300  decided until 883116 received 883414
W[18:37:36,375] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883118 to 172.16.66.12:50300  decided until 883117 received 883415
W[18:37:36,375] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883119 to 172.16.66.12:50300  decided until 883118 received 883416
W[18:37:36,375] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883120 to 172.16.66.12:50300  decided until 883119 received 883417
W[18:37:36,376] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883121 to 172.16.66.12:50300  decided until 883120 received 883418
W[18:37:36,376] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883122 to 172.16.66.12:50300  decided until 883121 received 883419
W[18:37:36,376] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883123 to 172.16.66.12:50300  decided until 883122 received 883420
W[18:37:36,377] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883124 to 172.16.66.12:50300  decided until 883123 received 883421
W[18:37:36,377] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883125 to 172.16.66.12:50300  decided until 883124 received 883422
W[18:37:36,378] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883126 to 172.16.66.12:50300  decided until 883125 received 883423
W[18:37:36,378] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883127 to 172.16.66.12:50300  decided until 883126 received 883424
W[18:37:36,378] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883128 to 172.16.66.12:50300  decided until 883127 received 883425
W[18:37:36,379] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883129 to 172.16.66.12:50300  decided until 883128 received 883426
W[18:37:36,379] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883130 to 172.16.66.12:50300  decided until 883129 received 883427
W[18:37:36,379] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883131 to 172.16.66.12:50300  decided until 883130 received 883428
W[18:37:36,380] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883132 to 172.16.66.12:50300  decided until 883131 received 883429
W[18:37:36,380] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883133 to 172.16.66.12:50300  decided until 883132 received 883430
W[18:37:36,381] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883134 to 172.16.66.12:50300  decided until 883133 received 883431
W[18:37:36,381] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883135 to 172.16.66.12:50300  decided until 883134 received 883432
W[18:37:36,382] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883136 to 172.16.66.12:50300  decided until 883135 received 883433
W[18:37:36,382] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883137 to 172.16.66.12:50300  decided until 883136 received 883434
W[18:37:36,382] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883138 to 172.16.66.12:50300  decided until 883137 received 883435
W[18:37:36,383] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 883139 to 172.16.66.12:50300  decided until 883138 received 883436
W[18:37:41,334] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319118 to 172.16.66.12:50300  decided until 1319117 received 1319167
W[18:37:41,335] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319119 to 172.16.66.12:50300  decided until 1319118 received 1319169
W[18:37:41,336] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319120 to 172.16.66.12:50300  decided until 1319119 received 1319240
W[18:37:41,336] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319121 to 172.16.66.12:50300  decided until 1319120 received 1319241
W[18:37:41,336] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319122 to 172.16.66.12:50300  decided until 1319121 received 1319242
W[18:37:41,336] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319123 to 172.16.66.12:50300  decided until 1319122 received 1319289
W[18:37:41,337] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319124 to 172.16.66.12:50300  decided until 1319123 received 1319319
W[18:37:41,337] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319125 to 172.16.66.12:50300  decided until 1319124 received 1319320
W[18:37:41,337] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319126 to 172.16.66.12:50300  decided until 1319125 received 1319387
W[18:37:41,338] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319127 to 172.16.66.12:50300  decided until 1319126 received 1319419
W[18:37:41,338] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319128 to 172.16.66.12:50300  decided until 1319127 received 1319424
W[18:37:41,338] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319129 to 172.16.66.12:50300  decided until 1319128 received 1319425
W[18:37:41,339] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319130 to 172.16.66.12:50300  decided until 1319129 received 1319426
W[18:37:41,339] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319131 to 172.16.66.12:50300  decided until 1319130 received 1319427
W[18:37:41,339] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319132 to 172.16.66.12:50300  decided until 1319131 received 1319428
W[18:37:41,340] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319133 to 172.16.66.12:50300  decided until 1319132 received 1319429
W[18:37:41,340] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319134 to 172.16.66.12:50300  decided until 1319133 received 1319430
W[18:37:41,341] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319135 to 172.16.66.12:50300  decided until 1319134 received 1319431
W[18:37:41,341] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319136 to 172.16.66.12:50300  decided until 1319135 received 1319432
W[18:37:41,342] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319137 to 172.16.66.12:50300  decided until 1319136 received 1319433
W[18:37:41,342] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319138 to 172.16.66.12:50300  decided until 1319137 received 1319434
W[18:37:41,342] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319139 to 172.16.66.12:50300  decided until 1319138 received 1319435
W[18:37:41,343] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319140 to 172.16.66.12:50300  decided until 1319139 received 1319436
W[18:37:41,343] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319141 to 172.16.66.12:50300  decided until 1319140 received 1319437
W[18:37:41,344] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319142 to 172.16.66.12:50300  decided until 1319141 received 1319438
W[18:37:41,344] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319143 to 172.16.66.12:50300  decided until 1319142 received 1319439
W[18:37:41,344] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319144 to 172.16.66.12:50300  decided until 1319143 received 1319440
W[18:37:41,345] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319145 to 172.16.66.12:50300  decided until 1319144 received 1319441
W[18:37:41,345] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319146 to 172.16.66.12:50300  decided until 1319145 received 1319442
W[18:37:41,345] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319147 to 172.16.66.12:50300  decided until 1319146 received 1319443
W[18:37:41,346] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319148 to 172.16.66.12:50300  decided until 1319147 received 1319444
W[18:37:41,346] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319149 to 172.16.66.12:50300  decided until 1319148 received 1319445
W[18:37:41,346] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319150 to 172.16.66.12:50300  decided until 1319149 received 1319446
W[18:37:41,347] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319151 to 172.16.66.12:50300  decided until 1319150 received 1319447
W[18:37:41,347] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319152 to 172.16.66.12:50300  decided until 1319151 received 1319448
W[18:37:41,347] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319153 to 172.16.66.12:50300  decided until 1319152 received 1319449
W[18:37:41,348] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319154 to 172.16.66.12:50300  decided until 1319153 received 1319450
W[18:37:41,348] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319155 to 172.16.66.12:50300  decided until 1319154 received 1319451
W[18:37:41,348] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319156 to 172.16.66.12:50300  decided until 1319155 received 1319452
W[18:37:41,349] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319157 to 172.16.66.12:50300  decided until 1319156 received 1319453
W[18:37:41,349] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319158 to 172.16.66.12:50300  decided until 1319157 received 1319454
W[18:37:41,349] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319159 to 172.16.66.12:50300  decided until 1319158 received 1319455
W[18:37:41,350] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319160 to 172.16.66.12:50300  decided until 1319159 received 1319456
W[18:37:41,350] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319161 to 172.16.66.12:50300  decided until 1319160 received 1319457
W[18:37:41,350] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319162 to 172.16.66.12:50300  decided until 1319161 received 1319458
W[18:37:41,350] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319163 to 172.16.66.12:50300  decided until 1319162 received 1319459
W[18:37:41,351] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319164 to 172.16.66.12:50300  decided until 1319163 received 1319460
W[18:37:41,351] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319165 to 172.16.66.12:50300  decided until 1319164 received 1319461
W[18:37:41,351] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1319166 to 172.16.66.12:50300  decided until 1319165 received 1319462
W[18:37:51,161] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191508 to 172.16.66.12:50300  decided until 2191507 received 2191561
W[18:37:51,161] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191509 to 172.16.66.12:50300  decided until 2191508 received 2191564
W[18:37:51,162] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191510 to 172.16.66.12:50300  decided until 2191509 received 2191565
W[18:37:51,162] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191511 to 172.16.66.12:50300  decided until 2191510 received 2191596
W[18:37:51,162] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191512 to 172.16.66.12:50300  decided until 2191511 received 2191614
W[18:37:51,163] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191513 to 172.16.66.12:50300  decided until 2191512 received 2191615
